feature_name,value,algorithm,value_type,label,label_index
blockers,4.62204425508307,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
vaciriss,4.607969377376364,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
engineer,4.083715096450231,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
atnf,4.078877758072,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
femoropopliteal,3.8865956525151466,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
drugrefractory,3.719036411062614,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
elderberry,3.468059959203982,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
alphanacetylglucosaminidase,3.2492086859952742,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
cd11a,3.0056796334332523,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
scarce,2.894097763377013,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
isdr,2.6970865901597785,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
decimal,2.67840233193446,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
researchrelated,2.6577414744414845,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
superresponders,2.517340051019473,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
rotate,1.967230905744077,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
lais,1.941427458033753,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
cc99282,1.654917440741114,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
mediumhigh,1.5766672679996518,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
filgrastim,1.3050866803616537,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
wristwatch,1.2448568730045078,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
510mm,1.222479417827128,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
silver,1.1494876275364063,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
gathering,0.8469354025440944,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
frenchamericanbritish,0.7317796479733665,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
speckle,0.7230673209828503,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
5fufolinic,0.7158802540597105,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
bcsh,0.6410897357422984,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
bupropion,0.6058838010966754,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
radiox,0.5528758355682016,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
sameday,0.5319417220918271,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
ppk,0.5040237230750826,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
tourist,0.4962457157230199,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
gtach,0.4865441100128925,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
healthcharity,0.4827302659208176,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
recontact,0.4561093761132779,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
gaviscon,0.3827950959708562,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
tarlatamab,0.3715487014688631,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
unreachable,0.3158625032506987,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
atrerial,0.1419040788881047,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
metaplasia,0.0957130528106268,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
generalised,0.0463605881333149,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
picostim,0.028579789683272,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
incb001158,0.0261487132198705,linear_only_svm,weight,Malignant neoplasms of bone and articular cartilage,4
