label_index,interrater_cohen_kappa_score,n_reviewed,pos_class_n,neg_class_n,pos_agree_n,neg_agree_n
0,0.9598363565037081,1290,948,342,943,327
1,0.4431013641858055,1290,7,1283,2,1283
2,0.0,1290,3,1287,0,1287
3,0.8344280860702151,1290,62,1228,45,1228
4,0.7348951911220716,1290,10,1280,7,1278
5,0.7932506763427487,1290,74,1216,51,1214
6,0.8128590494980561,1290,13,1277,11,1274
7,0.6728135350461015,1290,32,1258,18,1255
8,0.5824129789016681,1290,32,1258,25,1231
9,-0.0014114326040932657,1290,10,1280,0,1279
10,0.6266280752532561,1290,25,1265,12,1264
11,0.8635142833889476,1290,55,1235,43,1234
12,0.49672284644194753,1290,14,1276,5,1275
13,0.7457710625718509,1290,58,1232,37,1229
14,0.467382328654005,1290,11,1279,4,1277
15,0.787828947368421,1290,28,1262,19,1261
16,0.8502969485971739,1290,65,1225,51,1222
17,0.7062395627751632,1290,18,1272,11,1270
18,0.12372634643377012,1290,15,1275,1,1275
